route_id,service_id,trip_id,block_id,direction_id
960,FR_merged_67038,55509,b_960 -  2,1
020,FR_merged_67038,56532,b_020 -  2,0
025,WE_merged_67035,46771,a_025 -  1,0
025,WE_merged_67035,46770,a_025 -  2,0
025,WE_merged_67035,46773,a_025 -  1,0
009,FR_merged_67038,56533,b_009 -  3,0
025,WE_merged_67035,46772,a_025 -  2,0
025,WE_merged_67035,46775,a_025 -  1,0
025,WE_merged_67035,46774,a_025 -  2,0
104,SU_merged_67037,46083,a_104 -  3,0
112,SU_merged_67037,46082,a_112 -  2,0
103,SU_merged_67037,46081,a_103 -  2,1
104,SU_merged_67037,46080,a_104 -  2,0
103,SU_merged_67037,46087,a_103 -  1,1
101,SU_merged_67037,46086,a_101 -  1,1
104,SU_merged_67037,46085,a_104 -  2,0
961,SU_merged_67037,46084,a_961 -  1,0
026,WE_merged_67035,46735,a_026 -  1,1
029,WE_merged_67035,46734,a_026 -  3,0
104,SU_merged_67037,46089,a_104 -  3,0
112,SU_merged_67037,46088,a_112 -  1,0
029,WE_merged_67035,46731,a_026 -  2,0
026,WE_merged_67035,46730,a_026 -  1,1
026,WE_merged_67035,46733,a_026 -  3,1
026,WE_merged_67035,46732,a_026 -  1,1
025,WE_merged_67035,46779,a_025 -  2,1
800,MR_merged_67034,33026_merged_67518,a_800W-  4,0
025,WE_merged_67035,46778,a_025 -  1,1
058,MR_merged_67039,54440,b_058 -  1,1
117,SA_merged_67036,45420,a_120 -  2,1
117,SA_merged_67036,45421,a_120 -  1,1
117,SA_merged_67036,45422,a_120 -  2,1
117,SA_merged_67036,45423,a_120 -  1,1
064,WE_merged_67035,43109,a_064 -  3,1
064,WE_merged_67035,43108,a_104 -  5,1
014,FR_merged_67038,57230,b_014 -  1,1
014,FR_merged_67038,57231,b_014 -  2,1
014,FR_merged_67038,57236,b_014 -  3,1
014,FR_merged_67038,57237,b_014 -  4,1
014,FR_merged_67038,57234,b_014 -  1,1
014,FR_merged_67038,57235,b_014 -  4,1
014,FR_merged_67038,57238,b_014 -  3,1
014,FR_merged_67038,57239,b_014 -  4,1
064,WE_merged_67035,43107,a_064 -  3,1
026,WE_merged_67035,46889,a_026 -  3,0
033,WE_merged_67035,46888,a_033 -  4,0
026,WE_merged_67035,46883,a_026 -  2,0
026,WE_merged_67035,46882,a_026 -  2,0
033,WE_merged_67035,46881,a_033 -  2,0
026,WE_merged_67035,46880,a_026 -  2,0
026,WE_merged_67035,46886,a_026 -  1,0
026,WE_merged_67035,46885,a_026 -  1,0
033,WE_merged_67035,46884,a_033 -  1,0
002,FR_merged_67033,38833,a_002 -  4,1
015,FR_merged_67033,38832,a_015 -  6,1
003,FR_merged_67033,38831,a_003 -  4,1
002,FR_merged_67033,38830,a_002 -  2,1
015,FR_merged_67033,38837,a_015 -  4,1
003,FR_merged_67033,38836,a_003 -  3,1
002,FR_merged_67033,38835,a_002 -  1,1
015,FR_merged_67033,38834,a_015 -  2,1
015,FR_merged_67033,38839,a_015 -  1,1
002,FR_merged_67033,38838,a_002 -  3,1
961,WE_merged_67040,64219,b_961 -  3,1
105,WE_merged_67040,63803,b_105 -  1,0
105,WE_merged_67040,63800,b_105 -  2,0
